Name,Rating,Reviews,Phone,Website,Email,Google Maps URL
Foreign Grill,N/A,N/A,+1 832-977-4433,https://www.foreigngrilltx.com/,"ef5d9bbac3354b759bfd7a23c3313b3f@o244637.ingest.us.sentry.io, foreigngrilltx@gmail.com",https://www.google.com/maps/place/Foreign+Grill/data=!4m7!3m6!1s0x8640bf03e68a448d:0xbcc164a530a7cf48!8m2!3d29.7661543!4d-95.3645358!16s%2Fg%2F11rjjk7_n6!19sChIJjUSK5gO_QIYRSM-nMKVkwbw?authuser=0&hl=en&rclk=1
Street Eats,N/A,N/A,+1 325-617-2538,N/A,N/A,https://www.google.com/maps/place/Street+Eats/data=!4m7!3m6!1s0x8657e5391ca24707:0x3dc63769ec15b679!8m2!3d31.4428767!4d-100.4583349!16s%2Fg%2F11hk5lc2fj!19sChIJB0eiHDnlV4YRebYV7Gk3xj0?authuser=0&hl=en&rclk=1
Taste of Texas,N/A,N/A,+1 713-932-6901,http://www.tasteoftexas.com/,user@example.com,https://www.google.com/maps/place/Taste+of+Texas/data=!4m7!3m6!1s0x8640c4b4045e4acf:0x4311785cb913d478!8m2!3d29.7828164!4d-95.5569012!16s%2Fg%2F1tmqglhh!19sChIJz0peBLTEQIYReNQTuVx4EUM?authuser=0&hl=en&rclk=1
JOEY Uptown,N/A,N/A,+1 346-646-5639,https://joeyrestaurants.com/location/joey-uptown,"accessibility@joeyrestaurants.com, juptown@joeyrestaurants.com",https://www.google.com/maps/place/JOEY+Uptown/data=!4m7!3m6!1s0x8640c17b8639c2e3:0x428d695fdbf3d835!8m2!3d29.7401723!4d-95.4629128!16s%2Fg%2F11lrs7jty9!19sChIJ48I5hnvBQIYRNdjz219pjUI?authuser=0&hl=en&rclk=1
Gilhooley's Restaurant and Oyster Bar 18+,N/A,N/A,+1 281-339-3813,https://www.gilhooleystx.com/,"ef5d9bbac3354b759bfd7a23c3313b3f@o244637.ingest.us.sentry.io, katie.gilhooleys@gmail.com",https://www.google.com/maps/place/Gilhooley%27s+Restaurant+and+Oyster+Bar+18%2B/data=!4m7!3m6!1s0x863f7ac3e3bd44df:0x512d88c6e4846d44!8m2!3d29.4943499!4d-94.9199047!16s%2Fg%2F1t_kgxm7!19sChIJ30S948N6P4YRRG2E5MaILVE?authuser=0&hl=en&rclk=1
Y.O. Ranch Steakhouse,N/A,N/A,+1 214-744-3287,https://www.yoranchsteakhouse.com/,yoranchsteakhouse.sales@gmail.com,https://www.google.com/maps/place/Y.O.+Ranch+Steakhouse/data=!4m7!3m6!1s0x864e9916272214d7:0xf9638aceca11e49e!8m2!3d32.7812903!4d-96.8064213!16s%2Fg%2F1vbnpts2!19sChIJ1xQiJxaZToYRnuQRys6KY_k?authuser=0&hl=en&rclk=1
Goode Company Armadillo Palace,N/A,N/A,+1 713-526-9700,https://thearmadillopalace.com/,,https://www.google.com/maps/place/Goode+Company+Armadillo+Palace/data=!4m7!3m6!1s0x8640c0f5b2e3c8c3:0x8a9718bd261ca2fb!8m2!3d29.7274584!4d-95.4182061!16s%2Fm%2F0k5r493!19sChIJw8jjsvXAQIYR-6IcJr0Yl4o?authuser=0&hl=en&rclk=1
Traveler's Table,N/A,N/A,+1 832-409-5785,http://www.travelerstable.com/,info@travelerstable.com,https://www.google.com/maps/place/Traveler%27s+Table/data=!4m7!3m6!1s0x8640bfe5c3fbc549:0xb81e2792cc19959c!8m2!3d29.7448089!4d-95.388309!16s%2Fg%2F11fnxtqy58!19sChIJScX7w-W_QIYRnJUZzJInHrg?authuser=0&hl=en&rclk=1
Traditional Food Restaurant,N/A,N/A,+1 713-270-7610,N/A,N/A,https://www.google.com/maps/place/Traditional+Food+Restaurant/data=!4m7!3m6!1s0x8640e8166e6726cd:0x172d6dac738f2908!8m2!3d29.6568152!4d-95.5427886!16s%2Fg%2F1tksnrms!19sChIJzSZnbhboQIYRCCmPc6xtLRc?authuser=0&hl=en&rclk=1
Fusion Grill & Bar,N/A,N/A,+1 281-717-8935,https://www.fusiongrill-tx.com/,"9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, e0b4d631da7b4200828051f7f9c783e3@sentry-next.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 8c4075d5481d476e945486754f783364@sentry.io",https://www.google.com/maps/place/Fusion+Grill+%26+Bar/data=!4m7!3m6!1s0x86412768274a9439:0x7f3272fa97673b71!8m2!3d29.7609178!4d-95.7509447!16s%2Fg%2F11g07y0ywt!19sChIJOZRKJ2gnQYYRcTtnl_pyMn8?authuser=0&hl=en&rclk=1
Scholz Garten,N/A,N/A,+1 512-474-1958,http://www.scholzgarten.com/,"scholzgartenevents@gmail.com, SCHOLZGARTENEVENTS@GMAIL.COM",https://www.google.com/maps/place/Scholz+Garten/data=!4m7!3m6!1s0x8644b59f35ebedc9:0xac16a0d907cc371d!8m2!3d30.2778941!4d-97.7362343!16zL20vMGZnZ3Nu!19sChIJye3rNZ-1RIYRHTfMB9mgFqw?authuser=0&hl=en&rclk=1
State Fare Kitchen & Bar,N/A,N/A,+1 713-234-1405,https://www.statefaretx.com/,,https://www.google.com/maps/place/State+Fare+Kitchen+%26+Bar/data=!4m7!3m6!1s0x8640e78eede7853d:0x3abc691546ffd8f8!8m2!3d29.5970487!4d-95.6213627!16s%2Fg%2F11h53mj8nv!19sChIJPYXn7Y7nQIYR-Nj_RhVpvDo?authuser=0&hl=en&rclk=1
Another Broken Egg Cafe,N/A,N/A,+1 512-842-4022,https://www.anotherbrokenegg.com/locations/austin-tx-mesa-drive/,press@anotherbrokenegg.com,https://www.google.com/maps/place/Another+Broken+Egg+Cafe/data=!4m7!3m6!1s0x8644cbd8ed1d93d1:0x7098649a5c7cbb02!8m2!3d30.37057!4d-97.75845!16s%2Fg%2F11ql_4mr9l!19sChIJ0ZMd7djLRIYRArt8XJpkmHA?authuser=0&hl=en&rclk=1
Pinkerton's Barbecue,N/A,N/A,+1 512-842-4022,https://www.anotherbrokenegg.com/locations/austin-tx-mesa-drive/,press@anotherbrokenegg.com,https://www.google.com/maps/place/Pinkerton%27s+Barbecue/data=!4m7!3m6!1s0x8640b8970f55dfaf:0x5dc90813516aa52c!8m2!3d29.7986886!4d-95.3814817!16s%2Fg%2F11cmts9gdc!19sChIJr99VD5e4QIYRLKVqURMIyV0?authuser=0&hl=en&rclk=1
CorkScrew BBQ,N/A,N/A,+1 281-330-2178,http://www.corkscrewbbq.com/,"13e49d785d8d4f828038b6136f3b48ba@sentry.io, corkscrewbbq@corkscrewbbq.com",https://www.google.com/maps/place/CorkScrew+BBQ/data=!4m7!3m6!1s0x8647343b013bf645:0x754cf3408e2a5335!8m2!3d30.0806962!4d-95.4199226!16s%2Fg%2F1hhh72q2l!19sChIJRfY7ATs0R4YRNVMqjkDzTHU?authuser=0&hl=en&rclk=1
Davanti Ristorante,N/A,N/A,+1 281-888-2201,http://davantiristorante.com/,info@davantiristorante.com,https://www.google.com/maps/place/Davanti+Ristorante/data=!4m7!3m6!1s0x8640c183a19c9c9d:0x3a4f75d49defa1d9!8m2!3d29.7392322!4d-95.4419214!16s%2Fg%2F11s1szc_pv!19sChIJnZycoYPBQIYR2aHvndR1Tzo?authuser=0&hl=en&rclk=1
Morocco Cafe,N/A,N/A,+1 325-869-5600,N/A,N/A,https://www.google.com/maps/place/Morocco+Cafe/data=!4m7!3m6!1s0x8659d5b756460d83:0x9745ee1a25df6e89!8m2!3d31.2165119!4d-99.8393945!16s%2Fg%2F1tlkcsx8!19sChIJgw1GVrfVWYYRiW7fJRruRZc?authuser=0&hl=en&rclk=1
Confessions,N/A,N/A,+1 281-849-7985,https://www.confessionstx.com/,,https://www.google.com/maps/place/Confessions/data=!4m7!3m6!1s0x8640c1d1fd780389:0x95a49e61c3a2ca12!8m2!3d29.7350818!4d-95.4189861!16s%2Fg%2F11ybymxd8h!19sChIJiQN4_dHBQIYREsqiw2GepJU?authuser=0&hl=en&rclk=1
Shivas Bar and Grill,N/A,N/A,+1 469-250-1429,http://www.shivasbarandgrill.com/,,https://www.google.com/maps/place/Shivas+Bar+and+Grill/data=!4m7!3m6!1s0x864e9f49da747b5f:0x96ba6450b8e9d676!8m2!3d32.7827945!4d-96.8044163!16s%2Fg%2F11b5yhvj56!19sChIJX3t02kmfToYRdtbpuFBkupY?authuser=0&hl=en&rclk=1
Hawaiian Bros Island Grill,N/A,N/A,+1 214-390-2169,https://hawaiianbros.com/,,https://www.google.com/maps/place/Hawaiian+Bros+Island+Grill/data=!4m7!3m6!1s0x864c11499a48fd59:0x2d704fd9e11b5746!8m2!3d33.1304592!4d-96.6606925!16s%2Fg%2F11rhwp3710!19sChIJWf1ImkkRTIYRRlcb4dlPcC0?authuser=0&hl=en&rclk=1
True Food Kitchen,N/A,N/A,+1 512-777-2430,https://www.truefoodkitchen.com/locations/austin/,,https://www.google.com/maps/place/True+Food+Kitchen/data=!4m7!3m6!1s0x8644b50e2ee3f607:0xddc3ee2020881bac!8m2!3d30.2670001!4d-97.7522838!16s%2Fg%2F11clfd3vs8!19sChIJB_bjLg61RIYRrBuIICDuw90?authuser=0&hl=en&rclk=1
Seasons 52,N/A,N/A,+1 210-526-6525,https://www.seasons52.com/locations/tx/san-antonio/san-antonio/4557?cmpid=br:s52_ag:ie_ch:loc_ca:S52GMB_sn:gmb_gt:san-antonio-tx-4557_pl:locurl_rd:1046,,https://www.google.com/maps/place/Seasons+52/data=!4m7!3m6!1s0x865cf5e568219cbb:0xd2fe2b96bb04790b!8m2!3d29.4939914!4d-98.4828877!16s%2Fg%2F11k9brwhqt!19sChIJu5whaOX1XIYRC3kEu5Yr_tI?authuser=0&hl=en&rclk=1
Cattleack Barbeque,N/A,N/A,+1 972-805-0999,http://cattleackbbq.com/,,https://www.google.com/maps/place/Cattleack+Barbeque/data=!4m7!3m6!1s0x864c272b1949852d:0xf86d4818ce969f08!8m2!3d32.9346139!4d-96.8362604!16s%2Fg%2F1tj33jpj!19sChIJLYVJGSsnTIYRCJ-WzhhIbfg?authuser=0&hl=en&rclk=1
Peace Bakery and Deli,N/A,N/A,+1 512-386-1152,https://peacebakerydeliaustin.com/#,"peacebakerydeli1@gmail.com, email@example.com",https://www.google.com/maps/place/Peace+Bakery+and+Deli/data=!4m7!3m6!1s0x8644c92a66d028bf:0x29b577a635ae61b2!8m2!3d30.3818034!4d-97.6872147!16s%2Fg%2F11sq307ygv!19sChIJvyjQZirJRIYRsmGuNaZ3tSk?authuser=0&hl=en&rclk=1
Fareground Austin,N/A,N/A,+1 512-465-2107,https://www.faregroundaustin.com/,"hello@faregroundaustin.com, user@domain.com, Jabs-Logo2025-Badge@2x.png",https://www.google.com/maps/place/Fareground+Austin/data=!4m7!3m6!1s0x8644b507c51a5043:0x9767a84e660928a0!8m2!3d30.2635186!4d-97.74358!16s%2Fg%2F11c5442_np!19sChIJQ1AaxQe1RIYRoCgJZk6oZ5c?authuser=0&hl=en&rclk=1
"Rock N Grill Authentic Indian Cuisine & Bar in Austin - Round Rock, TX",N/A,N/A,+1 512-660-5373,https://www.rockngrillusa.com/,,"https://www.google.com/maps/place/Rock+N+Grill+Authentic+Indian+Cuisine+%26+Bar+in+Austin+-+Round+Rock,+TX/data=!4m7!3m6!1s0x8644d10062cf037d:0xf0242d7930a2c0f!8m2!3d30.523286!4d-97.686238!16s%2Fg%2F11fj4v9z3_!19sChIJfQPPYgDRRIYRDywKk9dCAg8?authuser=0&hl=en&rclk=1"
Truluck's,N/A,N/A,+1 713-783-7270,https://trulucks.com/locations/houston-texas/,houstonevents@trulucks.com,https://www.google.com/maps/place/Truluck%27s/data=!4m7!3m6!1s0x8640c165d4eafb4b:0x73c73884e5ff6168!8m2!3d29.7402!4d-95.4700086!16s%2Fg%2F1td0gx15!19sChIJS_vq1GXBQIYRaGH_5YQ4x3M?authuser=0&hl=en&rclk=1
Lonesome Dove Austin,N/A,N/A,+1 512-368-2821,http://www.lonesomedoveaustin.com/,"lonesomedoveaustin-events@cheftimlove.com, events@cheftimlove.com",https://www.google.com/maps/place/Lonesome+Dove+Austin/data=!4m7!3m6!1s0x8644b509aa9776f3:0xc98eeb65a71639a7!8m2!3d30.268263!4d-97.7440193!16s%2Fg%2F11b7hynp8y!19sChIJ83aXqgm1RIYRpzkWp2Xrjsk?authuser=0&hl=en&rclk=1
P Thai's Khao Man Gai & Noodles,N/A,N/A,+1 512-387-1852,https://p-thai.com/,"egnipont@gmail.com, love@p-thai.com",https://www.google.com/maps/place/P+Thai%27s+Khao+Man+Gai+%26+Noodles/data=!4m7!3m6!1s0x8644cb2ec21fdbd9:0xcddfca8348f4551e!8m2!3d30.3087135!4d-97.7153532!16s%2Fg%2F11ss50m51q!19sChIJ2dsfwi7LRIYRHlX0SIPK380?authuser=0&hl=en&rclk=1
"DeVivo's Eatery-Italian kitchen, Pizzeria & Bakery",N/A,N/A,+1 817-431-6890,https://devivobroseatery.com/,"devivobros.eatery@gmail.com, email@example.com","https://www.google.com/maps/place/DeVivo%27s+Eatery-Italian+kitchen,+Pizzeria+%26+Bakery/data=!4m7!3m6!1s0x864dd77a990e053b:0x6f2dd9fefc098bd8!8m2!3d32.9236031!4d-97.2548527!16s%2Fg%2F12hmnb5wc!19sChIJOwUOmXrXTYYR2IsJ_P7ZLW8?authuser=0&hl=en&rclk=1"
Battalion,N/A,N/A,+1 210-816-0088,http://www.battalionsa.com/,user@domain.com,https://www.google.com/maps/place/Battalion/data=!4m7!3m6!1s0x865c58a916dd5581:0x5bf00f6a25d7c2bd!8m2!3d29.4177677!4d-98.4881123!16s%2Fg%2F11g6ph0_7l!19sChIJgVXdFqlYXIYRvcLXJWoP8Fs?authuser=0&hl=en&rclk=1
Enchiladas Ole' Magnolia,N/A,N/A,+1 817-751-5556,https://www.enchiladasole.com/,"user@domain.com, catering@enchiladasole.com",https://www.google.com/maps/place/Enchiladas+Ole%27+Magnolia/data=!4m7!3m6!1s0x864e76d552495333:0x6357b03e1402bcff!8m2!3d32.730792!4d-97.3381954!16s%2Fg%2F12hnlnzdw!19sChIJM1NJUtV2ToYR_7wCFD6wV2M?authuser=0&hl=en&rclk=1
SCOOTS SMASHED BURGERS,N/A,N/A,+1 940-309-8811,N/A,N/A,https://www.google.com/maps/place/SCOOTS+SMASHED+BURGERS/data=!4m7!3m6!1s0x87ab29da772fc3d7:0xe7fd656293608709!8m2!3d34.2911904!4d-99.7515542!16s%2Fg%2F11rknkkbr9!19sChIJ18Mvd9opq4cRCYdgk2Jl_ec?authuser=0&hl=en&rclk=1
City Hall Bistro,N/A,N/A,+1 214-651-3686,https://www.adolphus.com/restaurants-bars/city-hall-bistro?utm_source=google-gbp&utm_medium=organic&utm_campaign=gbp,"hello@adolphus.com, cityhallinfo@cityhallbistro.com",https://www.google.com/maps/place/City+Hall+Bistro/data=!4m7!3m6!1s0x864e9918f094566f:0x5a6baae20809e480!8m2!3d32.7800895!4d-96.7995746!16s%2Fg%2F11g8p3qzbk!19sChIJb1aU8BiZToYRgOQJCOKqa1o?authuser=0&hl=en&rclk=1
Al Baghdady bakery and cafe,N/A,N/A,+1 469-547-2042,https://al-baghdady.com/,info@al-baghdady.com,https://www.google.com/maps/place/Al+Baghdady+bakery+and+cafe/data=!4m7!3m6!1s0x864c1f74848f5269:0xed272a55bc755b4c!8m2!3d32.9517975!4d-96.7294759!16s%2Fg%2F1pyqr73_t!19sChIJaVKPhHQfTIYRTFt1vFUqJ-0?authuser=0&hl=en&rclk=1
La Fogata Mexican Cuisine,N/A,N/A,+1 210-340-1337,http://www.lafogata.com/,,https://www.google.com/maps/place/La+Fogata+Mexican+Cuisine/data=!4m7!3m6!1s0x865c5e36ea75936b:0x197ef35964f5ce48!8m2!3d29.4959147!4d-98.5352398!16s%2Fg%2F11b76h78n0!19sChIJa5N16jZeXIYRSM71ZFnzfhk?authuser=0&hl=en&rclk=1
Kiin Di,N/A,N/A,+1 512-243-6699,https://order.toasttab.com/online/kiindiatx,,https://www.google.com/maps/place/Kiin+Di/data=!4m7!3m6!1s0x8644b53322582347:0x5199a8e57d58bfc1!8m2!3d30.247261!4d-97.7775395!16s%2Fg%2F11qg7sfvx0!19sChIJRyNYIjO1RIYRwb9YfeWomVE?authuser=0&hl=en&rclk=1
TLC Austin,N/A,N/A,+1 512-580-0971,http://www.tlcaustin.com/,,https://www.google.com/maps/place/TLC+Austin/data=!4m7!3m6!1s0x8644b51f67aab5cf:0xfe57fd7f8f14316!8m2!3d30.2557699!4d-97.7630594!16s%2Fg%2F11f03wwpy4!19sChIJz7WqZx-1RIYRFkPx-Nd_5Q8?authuser=0&hl=en&rclk=1
